row_id,A_source,B_source,first_final_answer,swapped_final_answer,chosen_source_direct,chosen_source_reversed,order_influenced_decision
17,winning_human,losing_human,2,2,losing_human,winning_human,Yes
18,winning_human,losing_human,2,2,losing_human,winning_human,Yes
19,winning_human,losing_human,2,2,losing_human,winning_human,Yes
20,winning_human,losing_human,1,2,winning_human,winning_human,No
21,winning_human,losing_human,2,1,losing_human,losing_human,No
22,winning_human,losing_human,2,1,losing_human,losing_human,No
23,winning_human,losing_human,2,2,losing_human,winning_human,Yes
25,winning_human,losing_human,2,2,losing_human,winning_human,Yes
26,winning_human,losing_human,2,2,losing_human,winning_human,Yes
27,winning_human,losing_human,2,2,losing_human,winning_human,Yes
28,winning_human,losing_human,1,2,winning_human,winning_human,No
29,winning_human,losing_human,2,1,losing_human,losing_human,No
30,winning_human,losing_human,2,1,losing_human,losing_human,No
31,winning_human,losing_human,2,2,losing_human,winning_human,Yes
32,winning_human,losing_human,2,2,losing_human,winning_human,Yes
33,winning_human,losing_human,2,1,losing_human,losing_human,No
34,winning_human,losing_human,2,2,losing_human,winning_human,Yes
35,winning_human,losing_human,2,1,losing_human,losing_human,No
36,winning_human,losing_human,2,1,losing_human,losing_human,No
37,winning_human,losing_human,2,2,losing_human,winning_human,Yes
38,winning_human,losing_human,2,2,losing_human,winning_human,Yes
40,winning_human,losing_human,2,2,losing_human,winning_human,Yes
41,winning_human,losing_human,2,1,losing_human,losing_human,No
42,winning_human,losing_human,2,2,losing_human,winning_human,Yes
43,winning_human,losing_human,2,1,losing_human,losing_human,No
44,winning_human,losing_human,2,1,losing_human,losing_human,No
45,winning_human,losing_human,2,2,losing_human,winning_human,Yes
46,winning_human,losing_human,1,2,winning_human,winning_human,No
47,winning_human,losing_human,2,2,losing_human,winning_human,Yes
48,winning_human,losing_human,2,1,losing_human,losing_human,No
49,winning_human,losing_human,1,2,winning_human,winning_human,No
50,winning_human,losing_human,1,2,winning_human,winning_human,No
51,winning_human,losing_human,1,2,winning_human,winning_human,No
52,winning_human,losing_human,2,2,losing_human,winning_human,Yes
54,winning_human,losing_human,1,2,winning_human,winning_human,No
55,winning_human,losing_human,2,2,losing_human,winning_human,Yes
56,winning_human,losing_human,2,1,losing_human,losing_human,No
57,winning_human,losing_human,1,2,winning_human,winning_human,No
58,winning_human,losing_human,1,2,winning_human,winning_human,No
59,winning_human,losing_human,1,1,winning_human,losing_human,Yes
60,winning_human,losing_human,1,1,winning_human,losing_human,Yes
61,winning_human,losing_human,2,1,losing_human,losing_human,No
62,winning_human,losing_human,1,2,winning_human,winning_human,No
63,winning_human,losing_human,2,2,losing_human,winning_human,Yes
64,winning_human,losing_human,2,1,losing_human,losing_human,No
65,winning_human,losing_human,1,2,winning_human,winning_human,No
67,winning_human,losing_human,1,1,winning_human,losing_human,Yes
68,winning_human,losing_human,1,1,winning_human,losing_human,Yes
69,winning_human,losing_human,2,1,losing_human,losing_human,No
70,winning_human,losing_human,1,2,winning_human,winning_human,No
71,winning_human,losing_human,2,1,losing_human,losing_human,No
72,winning_human,losing_human,1,2,winning_human,winning_human,No
73,winning_human,losing_human,1,1,winning_human,losing_human,Yes
74,winning_human,losing_human,1,2,winning_human,winning_human,No
75,winning_human,losing_human,2,2,losing_human,winning_human,Yes
76,winning_human,losing_human,2,2,losing_human,winning_human,Yes
77,winning_human,losing_human,1,1,winning_human,losing_human,Yes
79,winning_human,losing_human,2,1,losing_human,losing_human,No
80,winning_human,losing_human,1,2,winning_human,winning_human,No
81,winning_human,losing_human,1,1,winning_human,losing_human,Yes
82,winning_human,losing_human,1,2,winning_human,winning_human,No
83,winning_human,losing_human,1,1,winning_human,losing_human,Yes
84,winning_human,losing_human,2,2,losing_human,winning_human,Yes
85,winning_human,losing_human,2,1,losing_human,losing_human,No
86,winning_human,losing_human,2,1,losing_human,losing_human,No
87,winning_human,losing_human,1,1,winning_human,losing_human,Yes
88,winning_human,losing_human,2,1,losing_human,losing_human,No
90,winning_human,losing_human,1,2,winning_human,winning_human,No
91,winning_human,losing_human,1,1,winning_human,losing_human,Yes
93,winning_human,losing_human,2,1,losing_human,losing_human,No
94,winning_human,losing_human,2,1,losing_human,losing_human,No
95,winning_human,losing_human,1,2,winning_human,winning_human,No
96,winning_human,losing_human,2,1,losing_human,losing_human,No
97,winning_human,losing_human,1,2,winning_human,winning_human,No
98,winning_human,losing_human,1,2,winning_human,winning_human,No
101,winning_human,losing_human,2,2,losing_human,winning_human,Yes
102,winning_human,losing_human,2,2,losing_human,winning_human,Yes
103,winning_human,losing_human,1,2,winning_human,winning_human,No
104,winning_human,losing_human,1,2,winning_human,winning_human,No
105,winning_human,losing_human,1,1,winning_human,losing_human,Yes
106,winning_human,losing_human,1,1,winning_human,losing_human,Yes
109,winning_human,losing_human,2,2,losing_human,winning_human,Yes
110,winning_human,losing_human,1,2,winning_human,winning_human,No
111,winning_human,losing_human,2,2,losing_human,winning_human,Yes
112,winning_human,losing_human,1,2,winning_human,winning_human,No
113,winning_human,losing_human,2,2,losing_human,winning_human,Yes
114,winning_human,losing_human,2,1,losing_human,losing_human,No
115,winning_human,losing_human,2,2,losing_human,winning_human,Yes
116,winning_human,losing_human,2,2,losing_human,winning_human,Yes
117,winning_human,losing_human,2,1,losing_human,losing_human,No
118,winning_human,losing_human,2,2,losing_human,winning_human,Yes
119,winning_human,losing_human,2,1,losing_human,losing_human,No
120,winning_human,losing_human,2,1,losing_human,losing_human,No
121,winning_human,losing_human,2,2,losing_human,winning_human,Yes
122,winning_human,losing_human,1,2,winning_human,winning_human,No
123,winning_human,losing_human,2,2,losing_human,winning_human,Yes
124,winning_human,losing_human,2,1,losing_human,losing_human,No
125,winning_human,losing_human,1,2,winning_human,winning_human,No
126,winning_human,losing_human,1,2,winning_human,winning_human,No
127,winning_human,losing_human,1,1,winning_human,losing_human,Yes
128,winning_human,losing_human,1,1,winning_human,losing_human,Yes
129,winning_human,losing_human,2,1,losing_human,losing_human,No
130,winning_human,losing_human,2,2,losing_human,winning_human,Yes
131,winning_human,losing_human,2,1,losing_human,losing_human,No
132,winning_human,losing_human,1,2,winning_human,winning_human,No
133,winning_human,losing_human,1,1,winning_human,losing_human,Yes
134,winning_human,losing_human,1,2,winning_human,winning_human,No
135,winning_human,losing_human,1,1,winning_human,losing_human,Yes
137,winning_human,losing_human,2,2,losing_human,winning_human,Yes
138,winning_human,losing_human,2,2,losing_human,winning_human,Yes
139,winning_human,losing_human,1,2,winning_human,winning_human,No
140,winning_human,losing_human,2,2,losing_human,winning_human,Yes
141,winning_human,losing_human,2,2,losing_human,winning_human,Yes
142,winning_human,losing_human,2,2,losing_human,winning_human,Yes
143,winning_human,losing_human,2,2,losing_human,winning_human,Yes
145,winning_human,losing_human,1,2,winning_human,winning_human,No
146,winning_human,losing_human,2,2,losing_human,winning_human,Yes
147,winning_human,losing_human,1,2,winning_human,winning_human,No
148,winning_human,losing_human,2,2,losing_human,winning_human,Yes
149,winning_human,losing_human,2,2,losing_human,winning_human,Yes
150,winning_human,losing_human,2,2,losing_human,winning_human,Yes
151,winning_human,losing_human,2,2,losing_human,winning_human,Yes
152,winning_human,losing_human,1,2,winning_human,winning_human,No
153,winning_human,losing_human,1,1,winning_human,losing_human,Yes
154,winning_human,losing_human,2,2,losing_human,winning_human,Yes
155,winning_human,losing_human,2,1,losing_human,losing_human,No
156,winning_human,losing_human,2,2,losing_human,winning_human,Yes
157,winning_human,losing_human,2,2,losing_human,winning_human,Yes
158,winning_human,losing_human,2,2,losing_human,winning_human,Yes
160,winning_human,losing_human,1,2,winning_human,winning_human,No
161,winning_human,losing_human,1,1,winning_human,losing_human,Yes
162,winning_human,losing_human,2,2,losing_human,winning_human,Yes
163,winning_human,losing_human,2,1,losing_human,losing_human,No
164,winning_human,losing_human,2,1,losing_human,losing_human,No
165,winning_human,losing_human,2,2,losing_human,winning_human,Yes
166,winning_human,losing_human,2,2,losing_human,winning_human,Yes
167,winning_human,losing_human,2,1,losing_human,losing_human,No
168,winning_human,losing_human,2,2,losing_human,winning_human,Yes
169,winning_human,losing_human,2,2,losing_human,winning_human,Yes
170,winning_human,losing_human,2,1,losing_human,losing_human,No
171,winning_human,losing_human,2,2,losing_human,winning_human,Yes
172,winning_human,losing_human,1,2,winning_human,winning_human,No
174,winning_human,losing_human,2,2,losing_human,winning_human,Yes
175,winning_human,losing_human,2,1,losing_human,losing_human,No
176,winning_human,losing_human,2,2,losing_human,winning_human,Yes
177,winning_human,losing_human,2,2,losing_human,winning_human,Yes
178,winning_human,losing_human,2,1,losing_human,losing_human,No
180,winning_human,losing_human,2,2,losing_human,winning_human,Yes
181,winning_human,losing_human,1,2,winning_human,winning_human,No
182,winning_human,losing_human,2,1,losing_human,losing_human,No
183,winning_human,losing_human,1,2,winning_human,winning_human,No
184,winning_human,losing_human,1,1,winning_human,losing_human,Yes
185,winning_human,losing_human,2,2,losing_human,winning_human,Yes
188,winning_human,losing_human,2,2,losing_human,winning_human,Yes
189,winning_human,losing_human,1,2,winning_human,winning_human,No
190,winning_human,losing_human,2,1,losing_human,losing_human,No
191,winning_human,losing_human,2,1,losing_human,losing_human,No
192,winning_human,losing_human,2,1,losing_human,losing_human,No
193,winning_human,losing_human,2,1,losing_human,losing_human,No
194,winning_human,losing_human,2,2,losing_human,winning_human,Yes
195,winning_human,losing_human,2,2,losing_human,winning_human,Yes
196,winning_human,losing_human,2,1,losing_human,losing_human,No
199,winning_human,losing_human,2,1,losing_human,losing_human,No
200,winning_human,losing_human,2,1,losing_human,losing_human,No
201,winning_human,losing_human,2,1,losing_human,losing_human,No
202,winning_human,losing_human,2,2,losing_human,winning_human,Yes
203,winning_human,losing_human,2,2,losing_human,winning_human,Yes
204,winning_human,losing_human,1,2,winning_human,winning_human,No
205,winning_human,losing_human,2,1,losing_human,losing_human,No
206,winning_human,losing_human,2,2,losing_human,winning_human,Yes
207,winning_human,losing_human,2,2,losing_human,winning_human,Yes
208,winning_human,losing_human,2,1,losing_human,losing_human,No
210,winning_human,losing_human,2,2,losing_human,winning_human,Yes
211,winning_human,losing_human,2,2,losing_human,winning_human,Yes
212,winning_human,losing_human,2,2,losing_human,winning_human,Yes
213,winning_human,losing_human,2,2,losing_human,winning_human,Yes
214,winning_human,losing_human,2,1,losing_human,losing_human,No
215,winning_human,losing_human,1,2,winning_human,winning_human,No
216,winning_human,losing_human,1,2,winning_human,winning_human,No
217,winning_human,losing_human,2,1,losing_human,losing_human,No
218,winning_human,losing_human,2,2,losing_human,winning_human,Yes
220,winning_human,losing_human,2,2,losing_human,winning_human,Yes
221,winning_human,losing_human,2,2,losing_human,winning_human,Yes
222,winning_human,losing_human,2,2,losing_human,winning_human,Yes
223,winning_human,losing_human,2,1,losing_human,losing_human,No
224,winning_human,losing_human,2,1,losing_human,losing_human,No
225,winning_human,losing_human,2,1,losing_human,losing_human,No
226,winning_human,losing_human,2,2,losing_human,winning_human,Yes
227,winning_human,losing_human,2,2,losing_human,winning_human,Yes
229,winning_human,losing_human,2,2,losing_human,winning_human,Yes
230,winning_human,losing_human,2,2,losing_human,winning_human,Yes
231,winning_human,losing_human,1,2,winning_human,winning_human,No
232,winning_human,losing_human,2,2,losing_human,winning_human,Yes
233,winning_human,losing_human,2,2,losing_human,winning_human,Yes
234,winning_human,losing_human,2,2,losing_human,winning_human,Yes
235,winning_human,losing_human,2,2,losing_human,winning_human,Yes
236,winning_human,losing_human,1,2,winning_human,winning_human,No
237,winning_human,losing_human,1,2,winning_human,winning_human,No
238,winning_human,losing_human,2,2,losing_human,winning_human,Yes
239,winning_human,losing_human,2,1,losing_human,losing_human,No
240,winning_human,losing_human,2,1,losing_human,losing_human,No
241,winning_human,losing_human,2,2,losing_human,winning_human,Yes
242,winning_human,losing_human,2,2,losing_human,winning_human,Yes
243,winning_human,losing_human,2,1,losing_human,losing_human,No
244,winning_human,losing_human,2,2,losing_human,winning_human,Yes
245,winning_human,losing_human,2,2,losing_human,winning_human,Yes
246,winning_human,losing_human,2,1,losing_human,losing_human,No
248,winning_human,losing_human,2,2,losing_human,winning_human,Yes
249,winning_human,losing_human,1,2,winning_human,winning_human,No
250,winning_human,losing_human,2,1,losing_human,losing_human,No
251,winning_human,losing_human,2,1,losing_human,losing_human,No
252,winning_human,losing_human,2,1,losing_human,losing_human,No
253,winning_human,losing_human,2,1,losing_human,losing_human,No
254,winning_human,losing_human,2,2,losing_human,winning_human,Yes
255,winning_human,losing_human,2,2,losing_human,winning_human,Yes
256,winning_human,losing_human,2,2,losing_human,winning_human,Yes
257,winning_human,losing_human,2,2,losing_human,winning_human,Yes
258,winning_human,losing_human,2,1,losing_human,losing_human,No
259,winning_human,losing_human,2,2,losing_human,winning_human,Yes
260,winning_human,losing_human,2,2,losing_human,winning_human,Yes
261,winning_human,losing_human,2,2,losing_human,winning_human,Yes
262,winning_human,losing_human,2,2,losing_human,winning_human,Yes
263,winning_human,losing_human,1,2,winning_human,winning_human,No
265,winning_human,losing_human,2,2,losing_human,winning_human,Yes
266,winning_human,losing_human,2,1,losing_human,losing_human,No
267,winning_human,losing_human,2,2,losing_human,winning_human,Yes
268,winning_human,losing_human,2,2,losing_human,winning_human,Yes
269,winning_human,losing_human,2,2,losing_human,winning_human,Yes
270,winning_human,losing_human,2,2,losing_human,winning_human,Yes
271,winning_human,losing_human,1,2,winning_human,winning_human,No
272,winning_human,losing_human,2,2,losing_human,winning_human,Yes
273,winning_human,losing_human,2,2,losing_human,winning_human,Yes
274,winning_human,losing_human,2,2,losing_human,winning_human,Yes
275,winning_human,losing_human,2,1,losing_human,losing_human,No
276,winning_human,losing_human,1,2,winning_human,winning_human,No
277,winning_human,losing_human,1,2,winning_human,winning_human,No
278,winning_human,losing_human,2,2,losing_human,winning_human,Yes
280,winning_human,losing_human,2,2,losing_human,winning_human,Yes
281,winning_human,losing_human,2,2,losing_human,winning_human,Yes
282,winning_human,losing_human,2,1,losing_human,losing_human,No
283,winning_human,losing_human,2,1,losing_human,losing_human,No
284,winning_human,losing_human,1,2,winning_human,winning_human,No
285,winning_human,losing_human,1,2,winning_human,winning_human,No
286,winning_human,losing_human,2,2,losing_human,winning_human,Yes
287,winning_human,losing_human,1,2,winning_human,winning_human,No
288,winning_human,losing_human,1,2,winning_human,winning_human,No
289,winning_human,losing_human,2,1,losing_human,losing_human,No
290,winning_human,losing_human,1,2,winning_human,winning_human,No
291,winning_human,losing_human,2,1,losing_human,losing_human,No
292,winning_human,losing_human,2,2,losing_human,winning_human,Yes
294,winning_human,losing_human,2,2,losing_human,winning_human,Yes
295,winning_human,losing_human,1,2,winning_human,winning_human,No
296,winning_human,losing_human,1,2,winning_human,winning_human,No
297,winning_human,losing_human,2,1,losing_human,losing_human,No
298,winning_human,losing_human,1,2,winning_human,winning_human,No
299,winning_human,losing_human,1,2,winning_human,winning_human,No
300,winning_human,losing_human,1,2,winning_human,winning_human,No
301,winning_human,losing_human,2,1,losing_human,losing_human,No
302,winning_human,losing_human,1,2,winning_human,winning_human,No
303,winning_human,losing_human,2,2,losing_human,winning_human,Yes
304,winning_human,losing_human,2,2,losing_human,winning_human,Yes
305,winning_human,losing_human,2,2,losing_human,winning_human,Yes
307,winning_human,losing_human,1,2,winning_human,winning_human,No
308,winning_human,losing_human,1,2,winning_human,winning_human,No
309,winning_human,losing_human,2,1,losing_human,losing_human,No
310,winning_human,losing_human,1,2,winning_human,winning_human,No
311,winning_human,losing_human,2,2,losing_human,winning_human,Yes
312,winning_human,losing_human,2,1,losing_human,losing_human,No
313,winning_human,losing_human,1,2,winning_human,winning_human,No
314,winning_human,losing_human,2,2,losing_human,winning_human,Yes
315,winning_human,losing_human,2,2,losing_human,winning_human,Yes
316,winning_human,losing_human,1,2,winning_human,winning_human,No
317,winning_human,losing_human,1,2,winning_human,winning_human,No
319,winning_human,losing_human,2,2,losing_human,winning_human,Yes
320,winning_human,losing_human,2,1,losing_human,losing_human,No
321,winning_human,losing_human,1,2,winning_human,winning_human,No
322,winning_human,losing_human,2,1,losing_human,losing_human,No
323,winning_human,losing_human,1,2,winning_human,winning_human,No
324,winning_human,losing_human,2,2,losing_human,winning_human,Yes
325,winning_human,losing_human,2,1,losing_human,losing_human,No
326,winning_human,losing_human,1,2,winning_human,winning_human,No
327,winning_human,losing_human,1,2,winning_human,winning_human,No
328,winning_human,losing_human,2,2,losing_human,winning_human,Yes
330,winning_human,losing_human,2,1,losing_human,losing_human,No
331,winning_human,losing_human,1,2,winning_human,winning_human,No
332,winning_human,losing_human,1,2,winning_human,winning_human,No
333,winning_human,losing_human,2,2,losing_human,winning_human,Yes
334,winning_human,losing_human,1,2,winning_human,winning_human,No
335,winning_human,losing_human,2,1,losing_human,losing_human,No
336,winning_human,losing_human,2,2,losing_human,winning_human,Yes
337,winning_human,losing_human,2,1,losing_human,losing_human,No
338,winning_human,losing_human,2,1,losing_human,losing_human,No
340,winning_human,losing_human,1,2,winning_human,winning_human,No
341,winning_human,losing_human,1,2,winning_human,winning_human,No
342,winning_human,losing_human,1,2,winning_human,winning_human,No
343,winning_human,losing_human,1,2,winning_human,winning_human,No
344,winning_human,losing_human,1,2,winning_human,winning_human,No
345,winning_human,losing_human,1,2,winning_human,winning_human,No
346,winning_human,losing_human,1,2,winning_human,winning_human,No
347,winning_human,losing_human,1,2,winning_human,winning_human,No
349,winning_human,losing_human,2,2,losing_human,winning_human,Yes
350,winning_human,losing_human,2,1,losing_human,losing_human,No
351,winning_human,losing_human,2,2,losing_human,winning_human,Yes
352,winning_human,losing_human,2,2,losing_human,winning_human,Yes
353,winning_human,losing_human,2,2,losing_human,winning_human,Yes
354,winning_human,losing_human,2,2,losing_human,winning_human,Yes
355,winning_human,losing_human,1,2,winning_human,winning_human,No
356,winning_human,losing_human,2,2,losing_human,winning_human,Yes
357,winning_human,losing_human,2,2,losing_human,winning_human,Yes
358,winning_human,losing_human,2,1,losing_human,losing_human,No
359,winning_human,losing_human,2,2,losing_human,winning_human,Yes
360,winning_human,losing_human,1,2,winning_human,winning_human,No
361,winning_human,losing_human,1,2,winning_human,winning_human,No
362,winning_human,losing_human,2,2,losing_human,winning_human,Yes
363,winning_human,losing_human,2,2,losing_human,winning_human,Yes
364,winning_human,losing_human,1,2,winning_human,winning_human,No
365,winning_human,losing_human,2,1,losing_human,losing_human,No
366,winning_human,losing_human,1,2,winning_human,winning_human,No
367,winning_human,losing_human,1,2,winning_human,winning_human,No
368,winning_human,losing_human,1,2,winning_human,winning_human,No
369,winning_human,losing_human,2,1,losing_human,losing_human,No
370,winning_human,losing_human,1,2,winning_human,winning_human,No
371,winning_human,losing_human,2,2,losing_human,winning_human,Yes
372,winning_human,losing_human,2,1,losing_human,losing_human,No
373,winning_human,losing_human,1,2,winning_human,winning_human,No
374,winning_human,losing_human,2,1,losing_human,losing_human,No
375,winning_human,losing_human,1,2,winning_human,winning_human,No
